cidade,data,ano,mes,temperatura_media,precipitacao,casos
Brasília,2022-03-25,2022,3,22.85,0.0,421
Brasília,2022-04-04,2022,4,23.75,0.0,697
Brasília,2022-04-10,2022,4,24.85,0.0,129
Brasília,2022-04-29,2022,4,22.5,0.0,438
Brasília,2022-05-16,2022,5,22.4,0.0,625
Brasília,2022-05-17,2022,5,20.3,0.0,482
Brasília,2022-06-02,2022,6,20.7,0.0,226
Brasília,2022-06-09,2022,6,20.4,0.0,196
Brasília,2022-06-10,2022,6,20.35,0.0,262
Brasília,2022-06-28,2022,6,18.55,0.0,226
Brasília,2022-06-29,2022,6,17.85,0.0,141
Brasília,2022-07-04,2022,7,18.45,0.0,112
Brasília,2022-07-08,2022,7,19.15,0.0,87
Brasília,2022-07-22,2022,7,19.1,0.0,87
Brasília,2022-08-01,2022,8,21.1,0.0,72
Brasília,2022-08-06,2022,8,22.1,0.0,19
Brasília,2022-08-10,2022,8,22.1,0.0,68
Brasília,2022-08-12,2022,8,19.8,0.0,60
Brasília,2022-08-17,2022,8,21.85,0.0,45
Brasília,2022-08-31,2022,8,19.5,0.0,35
Brasília,2022-09-22,2022,9,22.35,15.000000000000002,49
Brasília,2022-09-30,2022,9,25.4,0.0,63
Brasília,2022-10-03,2022,10,23.5,0.0,80
Brasília,2022-10-04,2022,10,24.0,0.0,83
Brasília,2022-11-12,2022,11,21.299999999999997,0.8,27
Brasília,2022-12-14,2022,12,22.2,6.6,98
Brasília,2018-01-09,2018,1,22.65,0.2,1
Brasília,2018-01-10,2018,1,23.200000000000003,0.0,14
Brasília,2018-01-25,2018,1,22.549999999999997,11.2,6
Brasília,2018-01-30,2018,1,23.55,0.2,6
Brasília,2018-02-02,2018,2,22.75,24.6,6
,2018-02-04,2018,2,18.35,16.2,
Brasília,2018-02-12,2018,2,23.45,0.0,2
Brasília,2018-03-04,2018,3,24.8,40.4,2
Brasília,2018-03-05,2018,3,23.8,19.4,3
,2018-04-07,2018,4,21.7,19.6,
Brasília,2018-04-30,2018,4,20.65,0.0,3
Brasília,2018-05-08,2018,5,20.55,0.0,7
